0.673177083,1.231449,35.66666667,4.42856826,2.01340991,0.18463354,0.00175766,0.00025082,4.44358894
0.698699951,1.302428,35.25,3.89107006,1.8306966,0.20562587,0.00372929,0.00095355,3.91199708
0.701171875,1.425314,36,3.40752229,1.46766684,0.18989647,0.00125926,0.00038967,3.48375233
0.697479248,1.511887,36,2.99505769,1.46932936,0.19320136,0.00286102,0.00069115,3.00700392
0.718444824,1.630545,36.33333333,3.11754718,1.67020483,0.19628242,0.00113126,0.00015801,3.20769047
0.757120768,1.816851,37,4.41873326,1.99566521,0.17743699,0.00087582,0.00014869,4.54657659
0.778523763,2.049706,37.16666667,4.90415297,2.21708317,0.36197083,0.00186546,0.00029681,4.98823445
0.761657715,2.076353,36.5,3.7771225,2.02282236,0.28176285,0.00420655,0.00091789,3.77852773
0.814770508,2.255086,37.8,5.724039053,2.213518591,0.235485818,0.001785902,0.000961576,5.969836106
0.798258464,2.301637,38,4.10796187,2.27603737,0.34960855,0.00330666,0.00037199,4.16627248
0.822998047,2.501339,37.83333333,4.6727888,2.52550731,0.36847596,0.004618,0.00120232,4.67599641
0.833699544,2.588283,39,5.96135134,3.02570865,0.4470201,0.0019461,0.00049997,6.10111993
